A01	19.08	10.08	0.99
A02	18.85	24.65	4.63
A03	21.63	35.83	11.16
A04	22.32	37.29	12.34
A05	40.24	13.59	4.52
A06	40.26	29.13	8.87
A07	40.17	41.99	12.65
A08	38.18	58.07	16.75
A09	69.48	5.84	1.89
A10	69.03	12.48	3.4
A11	69.25	19.14	6.04
A12	67.88	26.4	8.41
A13	90.51	-2.21	-1.74
A14	88.98	3.75	-3.01
A15	90.73	-0.58	4.79
A16	91.47	-0.39	1.07
A17	88.59	2.33	3.39
A18	89.91	-2.21	3.28
A19	88.32	0.78	-4.1
A20	48.51	-32.53	-25.6
A21	35.27	63	-35.4
A22	63.51	6.19	72.35
B01	18.72	7.49	5.28
B02	18.72	13.15	12.16
B03	18.48	20.12	20.56
B04	18.9	26.84	23.71
B05	40.08	14.4	13.5
B06	40.05	27.62	24.9
B07	39.75	40.44	35.39
B08	37.63	55.36	50.27
B09	69	5.57	5.12
B10	69.02	11.35	10.71
B11	69.24	16.87	15.57
B12	68.21	23.74	21.67
B13	88.03	-7.28	-4.28
B14	84.49	10.44	-6.98
B15	88.97	-0.49	12.62
B16	84.12	-0.5	0.42
B17	82.73	8.81	6.53
B18	85.56	-6.62	7.72
B19	81.48	3.9	-11.21
B20	40.64	-26.74	-20.49
B21	30.52	53.59	-28.54
B22	53.62	5.53	61.82
C01	23.68	2.21	7.89
C02	23.56	4.86	14.8
C03	23.56	9.24	25.07
C04	23.72	11.86	30.05
C05	54.51	8.48	21.25
C06	54.8	16.77	41.9
C07	54.62	24.84	61.75
C08	54.55	27.8	67.84
C09	73.5	3.66	8.46
C10	73.58	7.74	18.03
C11	73.96	11.98	27.44
C12	73.03	16.07	39.73
C13	85.44	-11.51	-6.57
C14	79.55	17.41	-11.46
C15	87.26	-0.12	20.18
C16	75.32	0.1	0.36
C17	77.49	13.69	9.97
C18	80.3	-9.41	11.71
C19	74.7	6.09	-17.67
C20	32.17	-22.03	-17.02
C21	25.11	43.27	-23.36
C22	43.24	4.09	50.4
D01	23.39	-3.15	7.61
D02	23.5	-2.56	14.83
D03	23.57	-2.52	24.07
D04	23.98	-1.7	29.04
D05	58.95	0.49	20.06
D06	59.33	-0.26	40.79
D07	59.95	-1.92	60.72
D08	60.21	-1.67	71.35
D09	78.65	-0.47	10.27
D10	78.63	-0.34	21.26
D11	79	-0.79	30.63
D12	80.09	-3.79	55.44
D13	82.47	-15.08	-9.57
D14	75.36	22.96	-14.72
D15	85.9	-0.06	27.01
D16	67.45	0.71	-0.41
D17	72.83	18.44	14.73
D18	75.74	-11.02	15.47
D19	68.68	8.42	-22.68
D20	23.57	-19.44	-13.2
D21	19.28	32.63	-18.16
D22	33.28	2.67	38
E01	23.55	-7.66	6.95
E02	23.38	-11.96	13.94
E03	23.35	-14.96	23.8
E04	23.9	-18.86	28.15
E05	44.15	-8.76	14.03
E06	44.28	-17.01	27.99
E07	44.26	-25.23	40.85
E08	44.15	-30.39	53.58
E09	69.25	-3.44	8.19
E10	69.37	-7.83	15.94
E11	69.8	-12.68	23.98
E12	71.09	-21.42	38.83
E13	79.69	-17.41	-12.14
E14	71.12	28.86	-18.42
E15	84.2	0.79	34.79
E16	59.47	0.73	-0.29
E17	68.09	23.91	18.35
E18	71.15	-13.1	19.41
E19	62.39	10.93	-27.81
E20	17.11	-13.55	-10.62
E21	13.68	21.38	-13.52
E22	22.68	0.89	25.74
F01	23.58	-10.86	0.35
F02	23.19	-15.72	1.75
F03	23.38	-21.52	3.76
F04	22.87	-26.41	5.7
F05	44.25	-14.59	3.84
F06	44.28	-28.37	7.64
F07	43.48	-41.03	11.98
F08	44.72	-45.46	14.81
F09	69.58	-4.82	2.14
F10	69.66	-9.91	4.08
F11	70.02	-15.61	6.13
F12	71.45	-27.16	11.09
F13	76.73	-20.29	-14.22
F14	67.01	34.98	-21.49
F15	83.16	1.29	41.83
F16	51.79	0.56	-0.47
F17	63.24	29.54	21.45
F18	67.49	-16.65	23.42
F19	56.2	13.31	-34.24
F20	9.67	-8.76	-8.44
F21	8.8	10.07	-8.08
F22	13.56	0.05	13.4
G01	23.54	-11.96	-3.98
G02	22.9	-16.32	-5.54
G03	22.39	-20.5	-5.91
