A01	16.44	8.32	0.29
A02	16.05	16.39	1.91
A03	15.35	25.42	3.44
A04	15.53	31.80	5.37
A05	39.60	14.22	1.85
A06	39.24	30.70	5.58
A07	38.62	46.28	8.84
A08	37.58	60.83	12.17
A09	68.89	12.77	3.32
A10	68.04	26.07	5.62
A11	66.57	39.38	7.93
A12	63.05	45.53	8.61
A13	88.80	-10.79	-3.70
A14	86.62	10.27	-5.23
A15	91.48	-2.18	16.28
A16	91.21	-0.27	1.34
A17	85.65	8.64	8.89
A18	87.39	-12.80	10.44
A19	82.83	-0.16	-11.52
A20	52.16	-43.57	-37.37
A21	36.01	74.84	-45.83
A22	74.55	4.89	97.85
B01	21.37	8.07	5.42
B02	20.88	16.70	12.82
B03	20.33	25.10	21.32
B04	19.68	33.44	27.62
B05	39.68	15.54	12.55
B06	39.71	33.52	26.10
B07	38.94	50.71	40.69
B08	37.39	65.61	54.14
B09	69.16	9.80	8.64
B10	68.41	19.79	17.15
B11	67.68	30.12	25.04
B12	65.76	38.25	31.42
B13	86.55	-15.31	-7.09
B14	83.69	15.79	-9.32
B15	91.15	-3.01	23.23
B16	87.51	-0.33	1.11
B17	81.98	13.21	11.27
B18	85.05	-18.68	13.82
B19	77.70	0.93	-18.49
B20	44.36	-35.31	-31.05
B21	31.21	63.96	-38.49
B22	64.10	2.79	83.73
C01	26.47	3.30	8.31
C02	26.78	6.62	20.01
C03	27.06	9.88	32.17
C04	28.72	14.01	38.09
C05	54.50	7.00	18.03
C06	54.51	14.46	36.80
C07	55.15	21.52	56.05
C08	56.07	28.23	76.18
C09	74.14	6.19	18.19
C10	73.92	13.39	35.91
C11	73.89	19.69	52.00
C12	72.99	24.54	70.17
C13	84.61	-20.39	-10.08
C14	80.82	21.58	-12.81
C15	90.58	-3.42	31.17
C16	85.95	-0.49	0.98
C17	78.18	18.38	15.17
C18	82.43	-24.99	18.07
C19	71.87	2.27	-26.76
C20	35.29	-27.20	-24.94
C21	24.94	51.87	-31.14
C22	52.56	0.81	68.15
D01	26.50	-1.39	6.21
D02	27.18	-2.80	15.73
D03	27.64	-4.40	24.85
D04	28.81	-5.07	36.05
D05	59.48	-2.39	16.35
D06	60.32	-3.86	31.39
D07	60.96	-4.99	47.93
D08	61.57	-6.84	64.32
D09	79.10	-2.13	24.50
D10	79.20	-3.45	48.18
D11	79.36	-4.30	71.02
D12	79.25	-4.95	96.51
D13	82.72	-25.16	-12.95
D14	77.30	28.20	-17.46
D15	89.98	-3.58	39.59
D16	84.02	-0.65	0.96
D17	74.12	24.57	18.85
D18	79.38	-31.38	22.60
D19	65.79	4.48	-34.77
D20	27.44	-19.44	-20.02
D21	19.28	39.59	-25.15
D22	40.34	0.19	51.37
E01	26.97	-6.86	8.74
E02	27.79	-13.84	20.41
E03	29.02	-20.02	33.28
E04	31.80	-26.14	37.85
E05	45.85	-12.67	17.59
E06	47.69	-24.55	37.49
E07	50.43	-35.08	61.17
E08	52.50	-44.72	63.44
E09	70.01	-9.35	15.43
E10	70.08	-17.48	29.08
E11	70.49	-25.47	41.89
E12	70.65	-33.47	55.20
E13	80.41	-29.93	-16.33
E14	73.61	34.55	-21.79
E15	89.24	-3.78	47.76
E16	82.17	-0.37	1.19
E17	69.99	30.35	23.87
E18	76.45	-37.74	27.79
E19	59.75	7.25	-42.53
E20	19.37	-12.17	-14.55
E21	14.24	28.25	-17.95
E22	29.16	0.60	36.00
F01	17.49	-12.85	3.48
F02	18.25	-25.89	7.53
F03	19.93	-35.83	13.34
F04	22.08	-39.27	16.47
F05	36.63	-19.07	5.93
F06	38.41	-38.57	14.28
F07	39.83	-59.53	21.57
F08	42.87	-68.75	29.47
F09	70.04	-16.13	5.91
F10	70.22	-30.34	10.47
F11	70.28	-43.59	16.10
F12	69.43	-53.66	21.72
F13	78.20	-34.92	-19.18
F14	69.92	41.96	-26.37
F15	88.72	-3.18	56.19
F16	71.21	-0.25	0.28
F17	66.39	36.08	27.62
F18	73.59	-43.70	32.41
F19	53.40	11.31	-50.50
F20	11.35	-7.66	-8.92
F21	8.68	16.39	-11.21
F22	17.61	1.24	20.61
G01	21.75	-8.36	-2.88
G02	22.14	-16.79	-3.52
G03	22.53	-25.33	-4.61
G04	22.61	-33.47	-5.67
G05	40.83	-15.13	-2.98
G06	41.90	-31.01	-3.84
G07	43.72	-48.07	-4.05
G08	44.67	-60.72	-4.87
G09	69.72	-15.17	-2.08
G10	69.78	-29.31	-4.37
G11	70.48	-42.41	-5.98
G12	69.60	-53.25	-7.93
G13	76.14	-38.60	-22.55
G14	66.14	48.72	-30.15
G15	88.31	-2.92	64.39
G16	63.73	-0.88	0.02
G17	61.78	42.80	31.57
G18	70.51	-48.52	36.34
G19	47.85	15.99	-57.72
G20	34.19	59.41	52.37
G21	43.42	-60.47	49.75
G22	12.09	58.22	-78.77
H01	21.53	-5.12	-7.64
H02	21.21	-9.74	-13.27
H03	21.41	-14.89	-18.56
H04	21.36	-20.13	-23.96
H05	39.93	-7.68	-9.77
H06	40.23	-15.41	-18.35
H07	40.90	-23.30	-27.09
H08	42.90	-32.67	-35.36
H09	69.49	-8.37	-7.80
H10	69.29	-15.63	-16.11
H11	69.19	-23.01	-23.90
H12	69.55	-29.82	-31.34
H13	74.14	-42.51	-24.55
H14	62.10	55.53	-34.86
H15	87.51	-1.94	74.10
H16	55.16	-0.66	-0.28
H17	57.90	48.63	36.89
H18	67.68	-53.37	41.37
H19	41.60	22.38	-65.12
H20	29.51	50.27	44.20
H21	37.56	-52.12	42.89
H22	10.95	48.36	-66.73
I01	25.87	2.04	-16.17
I02	25.78	3.22	-29.04
I03	25.31	5.35	-44.17
I04	24.86	8.74	-59.43
I05	44.19	1.11	-16.86
I06	44.06	3.65	-33.26
I07	44.13	6.12	-48.34
I08	43.45	8.09	-62.66
I09	69.13	0.11	-9.87
I10	68.80	1.39	-19.53
I11	68.15	2.49	-28.97
I12	66.22	3.64	-35.55
I13	71.75	-45.79	-28.26
I14	57.75	63.99	-39.37
I15	86.56	-0.79	83.74
I16	43.52	-0.57	-1.34
I17	53.88	53.96	42.71
I18	64.16	-58.04	46.40
I19	34.91	30.93	-73.02
I20	24.69	40.67	35.79
I21	30.97	-41.87	34.23
I22	9.53	37.85	-53.19
J01	15.81	9.86	-17.63
J02	15.35	19.53	-33.66
J03	14.97	28.84	-48.55
J04	14.88	39.66	-65.96
J05	39.22	9.30	-18.95
J06	38.63	20.60	-38.47
J07	38.11	31.67	-55.74
J08	36.74	41.71	-69.94
J09	68.99	6.02	-11.30
J10	68.28	13.53	-22.69
J11	66.80	21.22	-33.41
J12	63.91	25.98	-36.83
J13	68.88	-48.90	-32.01
J14	52.99	71.94	-43.77
J15	85.83	0.76	93.10
J16	32.70	-0.08	-0.98
J17	49.53	59.68	47.73
J18	60.08	-62.66	50.31
J19	27.92	40.43	-79.04
J20	19.74	30.36	27.17
J21	24.29	-32.05	25.35
J22	8.14	29.40	-41.73
K01	25.68	9.49	-8.15
K02	25.05	19.72	-16.19
K03	24.20	28.98	-22.97
K04	23.63	37.76	-29.36
K05	44.20	15.11	-12.47
K06	43.71	32.26	-24.70
K07	43.17	48.27	-36.26
K08	42.61	63.73	-46.51
K09	68.67	15.62	-11.27
K10	67.12	31.71	-23.32
